carat,price
0.32,345
1.17,2774
1.01,2781
1.01,2788
0.96,2801
1.04,2801
1,2808
1.2,2809
0.43,555
1.02,2815
1,2818
1.17,2825
0.96,2826
0.97,2830
1,2841
1.01,2844
1.01,2844
1.01,2846
1.2,2850
1.12,2854
0.97,2856
1.22,2862
1.08,2869
1.04,2870
1.02,2872
1.05,2881
1.19,2892
1.01,2896
1.01,2896
1.02,2925
1.2,2925
1.17,2935
1.24,2940
1,2940
1.5,2964
1.05,2964
1.13,2968
1,2984
1.03,2988
1.24,2994
1.02,2999
1,3011
1.2,3011
1.2,3011
1.2,3011
1.01,3014
1.12,3017
1.12,3017
1.03,3018
1.01,3032
1.02,3051
1.03,3060
1.03,3073
1,3080
1,3080
1.2,3091
1.29,3098
1.52,3105
1.52,3105
1.01,3110
1.08,3118
1.13,3127
1,3136
1,3136
1.02,3141
1.02,3141
1.21,3144
1.06,3158
1.01,3167
1.01,3167
1.08,3168
1.23,3168
1.03,3172
1.03,3172
1.5,3175
1.5,3179
1.11,3183
1.02,3199
1.02,3199
1.04,3203
1.04,3203
1.11,3205
1.18,3219
1.03,3230
1.05,3234
1.04,3261
1.04,3261
1.11,3263
1.25,3276
1.18,3278
1.01,3288
1.05,3293
1,3300
1.02,3321
1.27,3328
1,3344
1.01,3348
1.07,3354
1.28,3355
1,3360
1.13,3366
1.23,3375
1.01,3377
1.02,3382
1.01,3388
1.01,3394
1,3405
1.07,3412
1.07,3415
1.21,3415
1.01,3439
1.03,3444
1.03,3444
1.01,3450
1.02,3455
1.5,3457
1.02,3459
1.13,3480
1.01,3484
1.51,3497
1.52,3504
1.2,3505
1.03,3507
1.19,3508
1.15,3510
1.02,3519
1,3520
1.24,3528
1.52,3541
1.13,3542
1.06,3544
1.06,3544
1.13,3544
1.07,3547
1.09,3549
1.2,3570
1.19,3572
1.15,3574
1,3584
1,3584
1.11,3589
1.02,3599
1.5,3599
1.13,3603
1.15,3606
1.13,3607
1.13,3607
1.06,3609
1.09,3614
1.1,3623
1.03,3634
1.16,3644
1.11,3655
1.22,3663
1.19,3665
1.27,3665
1.17,3669
1.13,3669
1.13,3678
1.1,3678
1.1,3678
1.21,3686
1.1,3690
1.23,3692
1.2,3696
1.5,3696
1.16,3711
1.04,3718
1.25,3724
1.21,3726
1.13,3729
1.19,3732
1.27,3732
1.51,3734
1.51,3734
1.13,3745
1.1,3745
1.1,3745
1.52,3745
1.13,3746
1.14,3755
1.2,3763
1.51,3765
1.02,3769
1.29,3774
1.5,3780
1.19,3794
1.21,3795
1.13,3797
1.18,3816
1.52,3820
1.14,3824
1.23,3835
1.02,3838
1.19,3864
1.5,3864
1.2,3871
1.1,3872
1.12,3874
1.18,3886
1.18,3894
1.29,3901
1.23,3905
1.39,3914
1.02,3915
1.12,3942
1.1,3942
1.12,3945
1.14,3950
1.18,3965
1.18,3965
1.23,3977
1.17,3984
1.39,3985
1.02,3987
1.12,4014
1.14,4022
1.5,4022
1.5,4022
1.23,4025
1.5,4032
1.14,4050
1.23,4050
1.5,4096
1.23,4098
1.14,4124
1.12,4139
1.32,4140
1.5,4140
1.5,4140
1.41,4145
1.18,4153
1.51,4167
1.21,4201
1.12,4215
1.18,4229
1.29,4277
0.43,581
1.5,4284
1.45,4320
1.27,4324
1.52,4345
1.2,4346
1.5,4368
1.21,4377
1.44,4387
0.5,584
1.51,4404
1.28,4428
1.58,4459
1.54,4492
1.36,4509
1.28,4509
1.35,4560
1.51,4600
1.5,4620
1.35,4643
1.52,4648
1.52,4648
1.74,4677
1.33,4698
1.5,4704
1.5,4704
0.34,413
0.34,413
1.5,4731
1.64,4849
1.47,4898
1.5,4939
1.5,4939
1.55,4965
1.54,4980
1.5,4989
1.32,5027
1.5,5040
1.95,5045
2,5051
1.29,5065
1.44,5068
1.54,5071
1.51,5074
1.83,5083
1.5,5141
1.29,5158
1.44,5161
1.57,5170
1.69,5182
2.06,5203
1.72,5240
1.69,5277
1.5,5292
1.5,5313
2.14,5405
0.41,600
1.5,5410
1.5,5412
2.15,5430
1.5,5460
1.5,5510
1.96,5554
1.5,5593
1.51,5601
2.22,5607
1.7,5617
1.5,5645
1.51,5647
2,5667
1.85,5688
1.5,5695
2.01,5696
2.01,5696
2.27,5733
1.51,5750
1.68,5765
1.5,5808
1.81,5859
1.68,5871
2,5914
1.5,5914
1.55,5974
1.51,5979
1.44,5987
1.82,5993
1.7,5998
2.03,6002
2.03,6002
1.66,6025
1.5,6028
1.51,6038
1.49,6064
1.51,6088
2.06,6091
1.44,6096
1.66,6135
1.51,6139
1.96,6147
2.08,6150
1.49,6175
1.53,6183
1.54,6186
1.54,6261
2.49,6289
1.54,6299
1.5,6300
